kpi_tags,kpi_name,kpi_id,kpi_category
"stores,  somaoutlets, chs, chico's fas, apparel retailers",Stores - Soma Outlets ,50,Stores
"stores,  whbmfrontlineboutiques, chs, chico's fas, apparel retailers",Stores - WHBM Frontline Boutiques ,51,Stores
"stores,  whbmoutlets, chs, chico's fas, apparel retailers",Stores - WHBM Outlets ,52,Stores
"stores,  storeclosures, chs, chico's fas, apparel retailers",Stores - Store Closures,53,Stores
"geographic,  net sales,  international, cri, carter's , apparel retailers",Geographic Net Sales - International,54,Geographic Net Sales
"geographic,  net sales,  usretail, cri, carter's , apparel retailers",Geographic Net Sales - U.S. Retail,55,Geographic Net Sales
"geographic,  net sales,  uswholesale, cri, carter's , apparel retailers",Geographic Net Sales - U.S. Wholesale,56,Geographic Net Sales
"revenue,  source,  direct,  consumer, cri, carter's , apparel retailers",Revenue by Source - Direct-to-consumer,57,Revenue by Source
"revenue,  source,  wholesale channel, cri, carter's , apparel retailers",Revenue by Source - Wholesale channel,58,Revenue by Source
"revenue,  apparel,  net sales, curv, torrid holdings , apparel retailers",Revenue by Product Category - Apparel Net Sales,59,Revenue by Product Category
"revenue,  nonapparel,  net sales, curv, torrid holdings , apparel retailers",Revenue by Product Category - Non-Apparel Net Sales,60,Revenue by Product Category
"segment,  revenue,  direct,  consumer, dlth, duluth holdings , apparel retailers",Segment Revenue - Direct-to-consumer,61,Segment Revenue
"segment,  revenue,  stores, dlth, duluth holdings , apparel retailers",Segment Revenue - Stores,62,Segment Revenue
"closed, expr, express, apparel retailers",No. of Company-Operated Stores - Closed,63,No. of Company-Operated Stores
"expresseditconcept,  stores, expr, express, apparel retailers",No. of Company-Operated Stores - Express Edit Concept Stores,64,No. of Company-Operated Stores
"opened, expr, express, apparel retailers",No. of Company-Operated Stores - Opened,65,No. of Company-Operated Stores
"outletstores, expr, express, apparel retailers",No. of Company-Operated Stores - Outlet Stores,66,No. of Company-Operated Stores
"retail,  stores, expr, express, apparel retailers",No. of Company-Operated Stores - Retail Stores,67,No. of Company-Operated Stores
"store,  count, expr, express, apparel retailers",No. of Company-Operated Stores - Store Count,68,No. of Company-Operated Stores
"upwest,  stores, expr, express, apparel retailers",No. of Company-Operated Stores - UpWest Stores,69,No. of Company-Operated Stores
"segment,  revenue,  channel,  otherchannel,  revenue, expr, express, apparel retailers",Segment Revenue by Channel - Other Channel revenue,70,Segment Revenue by Channel
"segment,  revenue,  channel,  outlet,  revenue, expr, express, apparel retailers",Segment Revenue by Channel - Outlet Revenue,71,Segment Revenue by Channel
"segment,  revenue,  channel,  retail,  revenue, expr, express, apparel retailers",Segment Revenue by Channel - Retail Revenue,72,Segment Revenue by Channel
"segment,  revenue,  product,  accessories,  other,  revenue, expr, express, apparel retailers",Segment Revenue by Product - Accessories and other Revenue,73,Segment Revenue by Product
"segment,  revenue,  product,  apparel,  revenue, expr, express, apparel retailers",Segment Revenue by Product - Apparel Revenue,74,Segment Revenue by Product
"segment,  revenue,  product,  other product,  revenue, expr, express, apparel retailers",Segment Revenue by Product - Other Product revenue,75,Segment Revenue by Product
"segment,  revenue,  corporate,  other,  revenue, gco, genesco , apparel retailers",Segment Revenue - Corporate and Other Revenue,76,Segment Revenue
"segment,  revenue,  johnston,  murphy,  revenue, gco, genesco , apparel retailers",Segment Revenue - Johnston & Murphy Group Revenue,77,Segment Revenue
"segment,  revenue,  journeys,  revenue, gco, genesco , apparel retailers",Segment Revenue - Journeys Group Revenue,78,Segment Revenue
"segment,  revenue,  licensedbr,  s,  revenue, gco, genesco , apparel retailers",Segment Revenue - Licensed Brands Revenue,79,Segment Revenue
"segment,  revenue,  schuh,  grouprevenue, gco, genesco , apparel retailers",Segment Revenue - Schuh Group Revenue,80,Segment Revenue
"stores,  stores,  closed, gco, genesco , apparel retailers",Stores - Store Closed,81,Stores
"stores,  total,  stores, gco, genesco , apparel retailers",Stores - Total Stores,46,Stores
"revenue,  geographicarea,  canada, ges, guess , apparel retailers",Revenue by Geographic area - Canada,82,Revenue by Geographic area
"revenue,  geographicarea,  germany, ges, guess , apparel retailers",Revenue by Geographic area - Germany,83,Revenue by Geographic area
"revenue,  geographicarea,  italy, ges, guess , apparel retailers",Revenue by Geographic area - Italy,84,Revenue by Geographic area
"revenue,  geographicarea,  other foreign countries, ges, guess , apparel retailers",Revenue by Geographic area - Other foreign countries,85,Revenue by Geographic area
"revenue,  geographicarea,  south korea, ges, guess , apparel retailers",Revenue by Geographic area - South Korea,86,Revenue by Geographic area
"revenue,  geographicarea,  spain, ges, guess , apparel retailers",Revenue by Geographic area - Spain,87,Revenue by Geographic area
"revenue,  geographicarea,  us, ges, guess , apparel retailers",Revenue by Geographic area - U.S.,88,Revenue by Geographic area
"revenue,  product,  netroyalties, ges, guess , apparel retailers",Revenue by Product - Net royalties ,89,Revenue by Product
"revenue,  product,  productsales, ges, guess , apparel retailers",Revenue by Product - Product sales,90,Revenue by Product
"segment,  revenue,  americas, retail, ges, guess , apparel retailers",Segment Revenue - Americas Retail,91,Segment Revenue
"segment,  revenue,  americas, retail,  compsales, ges, guess , apparel retailers",Segment Revenue - Americas Retail comp sales,92,Segment Revenue
"segment,  revenue,  americas, retail,  compsales, ges, guess , apparel retailers",Segment Revenue - Americas Retail comp sales,92,Segment Revenue
"segment,  revenue,  americas,  wholesale, ges, guess , apparel retailers",Segment Revenue - Americas Wholesale,93,Segment Revenue
"segment,  revenue,  americas,  wholesale, ges, guess , apparel retailers",Segment Revenue - Americas Wholesale,93,Segment Revenue
"segment,  revenue,  asia, ges, guess , apparel retailers",Segment Revenue - Asia,94,Segment Revenue
"segment,  revenue,  asia,  retail,  compsales, ges, guess , apparel retailers",Segment Revenue - Asia Retail comp sales,95,Segment Revenue
"segment,  revenue,  asia,  retail,  compsales, ges, guess , apparel retailers",Segment Revenue - Asia Retail comp sales,95,Segment Revenue
"segment,  revenue,  europe, ges, guess , apparel retailers",Segment Revenue - Europe,96,Segment Revenue
"segment,  revenue,  europe, retail,  compsales, ges, guess , apparel retailers",Segment Revenue - Europe Retail comp sales,97,Segment Revenue
"segment,  revenue,  europe, retail,  compsales, ges, guess , apparel retailers",Segment Revenue - Europe Retail comp sales,97,Segment Revenue
"segment,  revenue,  licensing, ges, guess , apparel retailers",Segment Revenue - Licensing,98,Segment Revenue
"segment,  revenue,  licensing, ges, guess , apparel retailers",Segment Revenue - Licensing,98,Segment Revenue
"sales,  athleta,  sales, gps, the gap, apparel retailers",Sales by Brand - Athleta Sales,99,Sales by Brand
"sales,  bananarepublic,  globalsales, gps, the gap, apparel retailers",Sales by Brand - Banana Republic Global Sales,100,Sales by Brand
"sales,  gapglobal, gps, the gap, apparel retailers",Sales by Brand - Gap Global,101,Sales by Brand
